,commits,previous_commits,old_file_paths,new_file_paths,modified_files_added_lines,modified_file_deleted_lines,modified_files_nloc,modified_files_complexity,modified_files_token_count,commit_messages,commit_date,entropy_ast_edge_file_context,entropy_ast_edge_file_normalised,entropy_token_file_context,entropy_token_file_normalised,entropy_token_no_keywords_file_context,entropy_token_no_keywords_file_normalised,entropy_token_no_keywords_no_numbers_file_context,entropy_token_no_keywords_no_numbers_file_normalised
15,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/PresentMode.java,128,0,38.0,3.0,230.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,5.376641479067843,0.8714273638352125,6.862534116102913,0.9169833037514379,6.728189074946811,0.9122919460402156,6.639836236495846,0.9102373468154227
16,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/Runner.java,645,0,129.0,27.0,774.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,5.654318148663967,0.8244872875385951,7.937778797790697,0.8677818921653634,7.860417775734561,0.8659884837022035,7.769117994828711,0.8651444587981761
17,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/RunnerClassLoader.java,128,0,58.0,11.0,337.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,5.783818763682628,0.8909349422821428,7.042386100350287,0.9213132646020956,6.950770000812025,0.9277771349010124,6.9089071333790075,0.9261975290606845
18,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/RunnerException.java,83,0,37.0,9.0,221.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,5.3727547088437735,0.9211136667752069,6.692453899613243,0.922157399421855,6.628412174896195,0.9310952439672815,6.504411730308346,0.9292016757583352
19,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/Sketch.java,1804,0,917.0,210.0,6187.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,5.664267251054779,0.7585118433299981,7.951550698204713,0.808149812673274,7.92914176971228,0.8098263566813629,7.8987345240613465,0.8097207192096825
20,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/SketchCode.java,105,0,40.0,5.0,211.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,5.220363185175454,0.8989227032340272,6.90942317421923,0.9145994983810222,6.864534798199985,0.9233191745462762,6.783228637523723,0.9219409707557789
21,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/SketchHistory.java,357,0,0.0,0.0,0.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,0.0,0.0,7.334252361664081,0.8813164783495225,7.192611962313049,0.8761377453493827,7.085263174112283,0.8749364168389426
22,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/Sketchbook.java,647,0,362.0,79.0,2435.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,5.640126541242004,0.796986506698359,7.874582213247164,0.8578061216109879,7.814521933102511,0.8576891197693256,7.766570129177478,0.8569162062913551
23,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/SwingWorker.java,131,0,67.0,15.0,325.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,5.336263991080502,0.8893773318467503,6.278713767742721,0.8832654098496908,5.938013269707538,0.865854436448038,5.925930166970176,0.86566923958244
24,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/UpdateCheck.java,143,0,79.0,9.0,520.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,5.384325916514938,0.8423120380924942,7.527888275288587,0.9289918429743897,7.432866061636369,0.9310875665988485,7.370714217019447,0.9300805809179435
25,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/preproc/ExtendedCommonASTWithHiddenTokens.java,132,0,89.0,15.0,570.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,5.3277532720384375,0.8527232847331823,6.088639628500893,0.8800057783624099,5.8219230609851085,0.8671001150712782,5.720716641030368,0.8667866951913556
26,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/preproc/JavaLexer.java,1899,0,1750.0,768.0,12563.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,5.5476163906862395,0.7726583054374997,6.215008879389896,0.7607179843502484,5.807553056417116,0.7339358367905701,5.493250610668535,0.7540078702101376
27,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/preproc/JavaRecognizer.java,5050,0,4616.0,1222.0,23301.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,5.120867563241935,0.7303810555107728,6.614605030234158,0.6944087533689981,6.268949979229602,0.6651994231752676,5.877944906006582,0.6547578950523562
28,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/preproc/JavaTokenTypes.java,157,0,154.0,0.0,765.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,2.3904181123728825,0.6909857964802006,6.424863361449579,0.7840212315735081,7.250429933112659,0.9121911106851476,5.570847432926661,0.8479406192523489
29,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/preproc/PdeEmitter.java,922,0,578.0,188.0,2976.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,4.820323653622474,0.6853453364839267,7.249959206499739,0.8058035545317587,7.0412413739601725,0.7946250215869209,6.991259012175606,0.7915030076185904
30,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/preproc/PdeLexer.java,1935,0,1782.0,776.0,12784.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,5.547411600797957,0.7737056663329158,6.232299701894242,0.7582640125188479,5.829671991091359,0.7313103104356895,5.516553540955528,0.7497811143561033
31,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/preproc/PdePartialTokenTypes.java,163,0,159.0,0.0,794.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,2.4270567398430685,0.6558833340655783,6.498901185469352,0.7861460016509701,7.344213337338912,0.9142072234878412,5.733451571767998,0.8521877763699325
32,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/preproc/PdePreprocessor.java,419,0,195.0,36.0,1527.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,5.595200101134816,0.7836907145789915,7.869449162766042,0.8817495224226444,7.802924746536869,0.8821359474259768,7.750068381962067,0.8819019475448946
33,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/preproc/PdeRecognizer.java,4345,0,3984.0,668.0,25001.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,5.2356465310570295,0.7409539265549295,6.352159709415099,0.6996167580709128,5.976068583417615,0.6680572470999245,5.508529546176822,0.6780461953659022
34,9fc5aa63f6fe5a4a1916b8220a961cb5183890e4,,,app/preproc/PdeTokenTypes.java,163,0,159.0,0.0,794.0,Initial Arduino IDE based on Processing.,2005-08-25 21:06:28+00:00,2.4270567398430685,0.6558833340655783,6.491997504594516,0.7857568360199144,7.337220313680307,0.9139644032721995,5.7178205561156314,0.851595393863874
